S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
35.0,Hardoi,UTTAR PRADESH,45.0,61.0,84.6,0.8,78.2,78.3,21.8,1.8,7.2,3.0,38.7,0.0,42.2,66.7
36.0,Hathras,UTTAR PRADESH,59.2,79.5,95.3,1.2,87.1,87.8,12.9,6.9,2.7,4.8,1.2,0.0,26.6,0.0
37.0,Jalaun,UTTAR PRADESH,63.1,74.1,86.8,1.6,91.5,94.3,8.5,6.4,10.8,1.1,79.3,0.1,60.8,0.0
38.0,Jaunpur,UTTAR PRADESH,57.2,60.3,83.1,0.1,94.8,94.8,5.2,2.7,0.3,264.3,53.9,0.0,5.8,100.0
39.0,Jhansi,UTTAR PRADESH,54.8,85.0,93.0,1.2,97.8,98.2,2.2,23.4,2.3,38.8,31.3,3.2,59.6,0.0
40.0,Jyotiba Phule Nagar,UTTAR PRADESH,52.8,41.6,69.6,0.4,73.7,85.6,26.3,10.6,1.0,5.2,22.7,0.0,12.7,200.0
41.0,Kannauj,UTTAR PRADESH,49.1,69.0,90.0,0.3,90.7,90.7,9.3,5.5,7.3,2.7,78.3,0.0,18.4,100.0
42.0,Kanpur Dehat,UTTAR PRADESH,34.2,43.0,72.5,0.5,95.0,95.0,5.0,1.2,0.8,0.0,21.1,0.0,26.7,100.0
43.0,Kanpur Nagar,UTTAR PRADESH,36.3,35.1,291.2,1.2,96.3,97.1,3.7,29.6,2.5,158.5,136.7,1.2,28.9,5.0
44.0,Kashi Ram Nagar,UTTAR PRADESH,44.7,55.8,83.9,0.3,80.2,80.2,19.8,1.7,5.3,1.2,73.5,0.0,27.3,100.0
45.0,Kaushambi,UTTAR PRADESH,47.5,69.2,88.1,0.3,94.4,94.4,5.6,3.7,10.1,1.6,8.2,0.0,38.5,0.0
46.0,Kushinagar,UTTAR PRADESH,70.7,83.9,88.7,3.7,87.7,90.9,12.3,2.9,0.1,0.0,10.7,0.0,8.8,0.0
47.0,Lakhimpur Kheri,UTTAR PRADESH,37.0,63.7,59.3,5.6,80.2,83.9,19.8,6.0,7.2,2.7,47.0,0.0,31.1,0.0
48.0,Lalitpur,UTTAR PRADESH,53.0,71.9,95.9,2.9,97.3,97.3,2.7,6.5,3.1,136.2,10.6,0.0,12.8,0.0
49.0,Lucknow,UTTAR PRADESH,53.1,51.2,231.1,3.3,98.7,99.3,1.3,28.9,202.1,3.2,187.8,2.5,58.5,69.5
50.0,Maharajganj,UTTAR PRADESH,50.5,87.3,95.7,1.2,80.6,80.7,19.4,4.6,3.8,1.4,68.0,0.0,27.9,0.0
51.0,Mahoba,UTTAR PRADESH,45.5,91.3,107.2,0.8,99.8,99.8,0.2,3.1,6.0,32.2,24.6,0.0,75.3,100.0
52.0,Mainpuri,UTTAR PRADESH,69.6,77.4,161.3,0.8,68.4,94.1,31.6,5.5,0.1,0.0,52.0,0.0,27.7,0.0
53.0,Mathura,UTTAR PRADESH,50.0,61.6,96.3,1.7,77.7,77.9,22.3,1.6,1.2,82.2,58.9,0.0,15.3,0.0
54.0,Maunathbhanjan,UTTAR PRADESH,36.2,66.6,173.9,0.4,89.9,98.5,10.1,0.0,0.0,0.0,38.7,0.4,28.0,0.0
55.0,Meerut,UTTAR PRADESH,47.0,58.9,246.5,1.2,81.2,81.7,18.8,26.2,1.9,30.4,27.9,0.6,28.2,0.0
56.0,Mirzapur,UTTAR PRADESH,47.1,66.1,78.2,1.4,79.1,81.8,20.9,5.1,2.2,50.2,58.2,0.2,25.1,0.0
57.0,Moradabad,UTTAR PRADESH,49.6,72.7,85.4,0.4,64.1,69.3,35.9,2.7,0.3,380.4,11.6,0.2,20.4,17.5
58.0,Muzaffarnagar,UTTAR PRADESH,55.2,89.7,93.5,2.5,90.0,90.4,10.0,4.4,6.9,75.8,86.6,0.4,43.2,100.0
59.0,Pilibhit,UTTAR PRADESH,69.7,79.9,97.4,1.4,72.3,72.3,27.7,5.9,13.6,6.5,0.2,0.0,52.9,0.0
60.0,Pratapgarh,UTTAR PRADESH,76.9,56.5,66.2,0.4,99.0,99.1,1.0,5.5,1.0,27.5,42.9,0.0,23.0,0.0
61.0,Rae Bareli,UTTAR PRADESH,57.6,82.6,86.0,1.6,96.0,97.1,4.0,10.3,3.3,80.1,65.9,0.0,46.8,0.0
62.0,Rampur,UTTAR PRADESH,59.8,72.5,89.3,1.0,73.6,73.6,26.4,22.1,8.2,10.8,4.7,0.0,32.6,0.0
63.0,Saharanpur,UTTAR PRADESH,66.9,100.0,91.1,1.4,90.2,90.2,9.8,10.0,2.9,84.9,56.9,0.4,43.1,0.0
64.0,Sambhal,UTTAR PRADESH,59.6,58.8,73.3,1.9,68.0,68.0,32.0,3.1,0.4,0.0,46.7,0.0,36.6,0.0
65.0,Sant Kabir Nagar,UTTAR PRADESH,44.1,73.2,87.6,1.2,83.8,83.9,16.2,6.4,3.9,0.7,49.9,0.0,18.0,100.0
66.0,Sant Ravidas Nagar,UTTAR PRADESH,52.4,74.5,64.5,0.2,98.8,99.5,1.2,3.4,0.0,100.0,40.4,0.0,19.9,0.0
67.0,Shahjahanpur,UTTAR PRADESH,58.7,86.1,72.7,3.3,67.4,67.4,32.6,1.6,7.6,17.1,21.9,0.1,21.2,0.0
68.0,Shamli,UTTAR PRADESH,55.7,86.2,91.2,0.9,84.1,84.1,15.9,5.2,0.2,100.0,87.8,0.0,25.7,0.0
69.0,Shrawasti,UTTAR PRADESH,72.2,84.7,71.4,2.2,85.1,85.8,14.9,0.2,4.9,6.6,8.2,0.0,46.2,0.0
70.0,Siddharth Nagar,UTTAR PRADESH,60.6,68.7,75.2,1.1,61.5,66.4,38.5,1.0,4.5,4.0,43.3,0.5,12.8,0.0
71.0,Sitapur,UTTAR PRADESH,59.0,63.9,78.7,1.1,77.8,79.1,22.2,1.9,6.1,4.3,47.1,0.0,46.4,80.0
72.0,Sonbhadra,UTTAR PRADESH,75.9,90.5,115.8,0.6,77.9,81.1,22.1,1.9,3.4,36.0,78.5,0.0,21.4,54.5
73.0,Sultanpur,UTTAR PRADESH,62.9,75.4,68.4,0.3,98.5,98.9,1.5,5.8,5.3,54.5,2.5,0.0,44.5,0.0
74.0,Unnav,UTTAR PRADESH,43.2,63.1,79.2,3.4,94.9,95.7,5.1,3.1,2.8,13.0,6.8,0.0,39.4,0.0
75.0,Varanasi,UTTAR PRADESH,51.8,81.8,81.9,0.6,99.3,99.8,0.7,7.8,0.2,0.0,72.9,0.4,44.3,100.0
