S.No.,District,State,% 1st Trimester registration to Total ANC Registrations - 2019-20,% Pregnant Woman received 4 ANC check ups to Total ANC Registrations - 2019-20,% Pregnant women given 180 IFA to Total ANC Registration - 2019-20,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations - 2019-20,% Institutional deliveries to Total Reported Deliveries - 2019-20,% Safe deliveries to Total Reported Deliveries - 2019-20,% Home deliveries to Total Reported Deliveries - 2019-20,% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries - 2019-20,% cases of Pregnant women with Obstetric Complications and attended to reported deliveries - 2019-20,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended - 2019-20,% Pregnant women given 360 Calcium to Total ANC Registration - 2019-20,% Pregnant women tested positive for GDM to Total ANC Registration - 2019-20,% Pregnant women tested for Syphilis to Total ANC Registration - 2019-20,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis - 2019-20
35.0,Rajgarh,MADHYA PRADESH,76.1,82.4,98.1,0.9,97.7,98.7,2.3,2.8,12.9,19.7,95.2,0.0,39.2,0.0
36.0,Ratlam,MADHYA PRADESH,78.4,83.4,88.4,1.5,99.0,99.0,1.0,11.9,6.1,51.4,89.4,0.0,28.2,100.0
37.0,Rewa,MADHYA PRADESH,64.0,64.3,99.1,1.0,96.9,97.0,3.1,6.8,0.5,4.2,75.9,0.0,34.1,0.0
38.0,Sagar,MADHYA PRADESH,65.1,71.5,89.7,2.2,95.7,96.2,4.3,4.5,7.0,38.3,63.4,0.0,19.7,0.0
39.0,Satna,MADHYA PRADESH,61.5,72.7,86.4,1.4,96.1,96.8,3.9,10.0,9.0,50.6,53.7,0.0,33.1,93.8
40.0,Sehore,MADHYA PRADESH,77.5,82.3,91.4,1.7,96.7,96.7,3.3,7.0,14.0,73.7,76.6,0.0,90.9,0.0
41.0,Seoni,MADHYA PRADESH,81.0,78.2,86.6,5.5,98.4,99.0,1.6,16.0,12.7,10.0,55.6,0.0,90.0,100.0
42.0,Shahdol,MADHYA PRADESH,73.5,72.8,101.3,2.3,95.7,98.1,4.3,12.8,12.7,32.2,96.5,0.0,1.0,0.0
43.0,Shajapur,MADHYA PRADESH,73.4,69.8,81.8,1.9,99.8,99.8,0.2,3.4,15.9,62.8,75.6,0.0,71.4,100.0
44.0,Sheopur,MADHYA PRADESH,57.8,61.7,97.9,1.0,88.3,88.3,11.7,5.6,25.1,23.6,72.1,0.0,34.7,0.0
45.0,Shivpuri,MADHYA PRADESH,51.7,72.5,96.4,1.0,94.2,94.6,5.8,6.2,1.4,54.8,79.7,0.0,17.3,0.0
46.0,Sidhi,MADHYA PRADESH,62.8,78.2,82.8,0.9,91.7,91.9,8.3,3.8,5.9,48.2,51.0,0.0,40.4,0.0
47.0,Singroli,MADHYA PRADESH,76.1,74.0,96.1,0.5,94.7,95.0,5.3,2.2,1.6,65.9,79.9,0.0,19.3,100.0
48.0,Tikamgarh,MADHYA PRADESH,56.0,72.9,110.2,0.7,95.9,95.9,4.1,3.8,5.4,50.6,93.3,0.7,53.0,100.0
49.0,Ujjain,MADHYA PRADESH,76.9,70.7,82.2,4.7,99.8,99.8,0.2,20.1,34.0,38.8,80.6,0.8,49.9,100.0
50.0,Umaria,MADHYA PRADESH,61.0,61.0,90.0,1.2,98.7,99.3,1.3,2.4,0.8,788.9,73.3,0.0,22.9,0.0
51.0,Vidisha,MADHYA PRADESH,70.4,69.9,95.2,3.4,94.6,95.1,5.4,9.2,12.6,41.8,94.7,0.0,31.2,0.0
